10.3962|1.02494|-104.009
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|69|10.3885|1.02484|-104.021|-0.333781|-0.00453745|-0.513493|
|70|10.3882|1.02484|-104.022|-0.343505|-0.00466965|-0.528454|
|71|10.3878|1.02483|-104.022|-0.353368|-0.00480373|-0.543627|
|72|10.3874|1.02483|-104.023|-0.36337|-0.00493969|-0.559014|
|73|10.3871|1.02482|-104.023|-0.37351|-0.00507754|-0.574614|
|74|10.3867|1.02482|-104.024|-0.383789|-0.00521728|-0.590428|
|75|10.3863|1.02481|-104.024|-0.394207|-0.0053589|-0.606454|
|76|10.3859|1.02481|-104.025|-0.404763|-0.00550239|-0.622694|
|77|10.3855|1.0248|-104.026|-0.415457|-0.00564778|-0.639146|
|78|10.3851|1.02479|-104.026|-0.42629|-0.00579504|-0.655811|
|79|10.3846|1.02479|-104.027|-0.437261|-0.00594418|-0.672689|
|80|10.3842|1.02478|-104.028|-0.44837|-0.0060952|-0.68978|
|81|10.3838|1.02478|-104.028|-0.459618|-0.0062481|-0.707083|
|82|10.3833|1.02477|-104.029|-0.471003|-0.00640288|-0.724599|
|83|10.3828|1.02476|-104.03|-0.482527|-0.00655953|-0.742328|
|84|10.3823|1.02476|-104.031|-0.494189|-0.00671806|-0.760268|
|85|10.3818|1.02475|-104.031|-0.505989|-0.00687847|-0.778421|
|86|10.3813|1.02474|-104.032|-0.517926|-0.00704075|-0.796786|
|87|10.3808|1.02474|-104.033|-0.530002|-0.00720491|-0.815363|
|88|10.3802|1.02473|-104.034|-0.542215|-0.00737093|-0.834152|
|89|10.3797|1.02472|-104.035|-0.554566|-0.00753883|-0.853153|
|90|10.3791|1.02471|-104.036|-0.567054|-0.0077086|-0.872365|
|91|10.3786|1.02471|-104.036|-0.57968|-0.00788024|-0.891789|
|92|10.378|1.0247|-104.037|-0.592444|-0.00805375|-0.911425|
|93|10.3774|1.02469|-104.038|-0.605345|-0.00822913|-0.931272|
|94|10.3768|1.02468|-104.039|-0.618383|-0.00840638|-0.951331|
|95|10.3761|1.02467|-104.04|-0.631559|-0.00858549|-0.9716|
|96|10.3755|1.02466|-104.041|-0.644872|-0.00876647|-0.992081|
|97|10.3749|1.02465|-104.042|-0.658322|-0.00894931|-1.01277|
|98|10.3742|1.02465|-104.043|-0.671909|-0.00913402|-1.03368|
|99|10.3735|1.02464|-104.044|-0.685634|-0.00932059|-1.05479|
|100|10.3728|1.02463|-104.045|-0.699495|-0.00950902|-1.07611|
|101|10.3721|1.02462|-104.046|-0.713493|-0.00969931|-1.09765|
|102|10.3714|1.02461|-104.047|-0.727628|-0.00989147|-1.11939|
|103|10.3707|1.0246|-104.049|-0.7419|-0.0100855|-1.14135|
|104|10.3699|1.02459|-104.05|-0.756308|-0.0102813|-1.16352|
|105|10.3691|1.02458|-104.051|-0.770853|-0.0104791|-1.18589|
|106|10.3684|1.02457|-104.052|-0.785535|-0.0106787|-1.20848|
|107|10.3676|1.02456|-104.053|-0.800353|-0.0108801|-1.23128|
|108|10.3668|1.02454|-104.055|-0.815307|-0.0110834|-1.25428|
|109|10.3659|1.02453|-104.056|-0.830398|-0.0112885|-1.2775|
|110|10.3651|1.02452|-104.057|-0.845625|-0.0114955|-1.30092|
|111|10.3643|1.02451|-104.058|-0.860988|-0.0117044|-1.32456|
|112|10.3634|1.0245|-104.06|-0.876487|-0.0119151|-1.3484|
|113|10.3625|1.02449|-104.061|-0.892122|-0.0121276|-1.37245|
|114|10.3616|1.02447|-104.063|-0.907893|-0.012342|-1.39672|
|115|10.3607|1.02446|-104.064|-0.9238|-0.0125582|-1.42119|
|116|10.3598|1.02445|-104.065|-0.939842|-0.0127763|-1.44587|
|117|10.3588|1.02444|-104.067|-0.956021|-0.0129963|-1.47076|
|118|10.3578|1.02442|-104.068|-0.972334|-0.013218|-1.49585|
|119|10.3569|1.02441|-104.07|-0.988784|-0.0134416|-1.52116|
|120|10.3559|1.0244|-104.071|-1.00537|-0.0136671|-1.54667|
|121|10.3548|1.02438|-104.073|-1.02209|-0.0138944|-1.5724|
|122|10.3538|1.02437|-104.074|-1.03894|-0.0141235|-1.59833|
|123|10.3528|1.02435|-104.076|-1.05593|-0.0143545|-1.62447|
|124|10.3517|1.02434|-104.078|-1.07306|-0.0145873|-1.65081|
|125|10.3506|1.02433|-104.079|-1.09032|-0.0148219|-1.67736|
|126|10.3495|1.02431|-104.081|-1.10771|-0.0150584|-1.70413|
|127|10.3484|1.0243|-104.083|-1.12524|-0.0152967|-1.73109|
|128|10.3473|1.02428|-104.085|-1.14291|-0.0155369|-1.75827|
|129|10.3461|1.02426|-104.086|-1.16071|-0.0157788|-1.78565|
|130|10.345|1.02425|-104.088|-1.17864|-0.0160226|-1.81324|
|131|10.3438|1.02423|-104.09|-1.19671|-0.0162682|-1.84104|
|132|10.3426|1.02422|-104.092|-1.21491|-0.0165157|-1.86904|
|133|10.3413|1.0242|-104.094|-1.23325|-0.016765|-1.89725|
|134|10.3401|1.02418|-104.096|-1.25172|-0.0170161|-1.92567|
|135|10.3388|1.02417|-104.098|-1.27033|-0.017269|-1.95429|
|136|10.3376|1.02415|-104.1|-1.28907|-0.0175237|-1.98312|
|137|10.3363|1.02413|-104.102|-1.30794|-0.0177803|-2.01215|
|138|10.3349|1.02411|-104.104|-1.32695|-0.0180387|-2.04139|
|139|10.3336|1.02409|-104.106|-1.34609|-0.0182988|-2.07084|
|140|10.3322|1.02408|-104.108|-1.36536|-0.0185609|-2.10049|
|141|10.3309|1.02406|-104.11|-1.38477|-0.0188247|-2.13035|
|142|10.3295|1.02404|-104.112|-1.40431|-0.0190903|-2.16041|
|143|10.3281|1.02402|-104.114|-1.42398|-0.0193578|-2.19068|
|144|10.3266|1.024|-104.116|-1.44379|-0.019627|-2.22115|
|145|10.3252|1.02398|-104.119|-1.46373|-0.0198981|-2.25182|
|146|10.3237|1.02396|-104.121|-1.4838|-0.020171|-2.2827|
|147|10.3222|1.02394|-104.123|-1.50401|-0.0204457|-2.31379|
|148|10.3207|1.02392|-104.125|-1.52435|-0.0207221|-2.34508|
|149|10.3192|1.0239|-104.128|-1.54482|-0.0210004|-2.37657|
|150|10.3176|1.02388|-104.13|-1.56542|-0.0212805|-2.40827|
|151|10.316|1.02386|-104.133|-1.58616|-0.0215624|-2.44017|
|152|10.3144|1.02383|-104.135|-1.60703|-0.0218461|-2.47227|
|153|10.3128|1.02381|-104.138|-1.62803|-0.0221316|-2.50458|
|154|10.3112|1.02379|-104.14|-1.64916|-0.0224189|-2.53709|
|155|10.3095|1.02377|-104.143|-1.67042|-0.022708|-2.56981|
|156|10.3078|1.02374|-104.145|-1.69182|-0.0229988|-2.60273|
|157|10.3061|1.02372|-104.148|-1.71335|-0.0232915|-2.63585|
|158|10.3044|1.0237|-104.151|-1.73501|-0.0235859|-2.66917|
|159|10.3027|1.02367|-104.153|-1.7568|-0.0238822|-2.70269|
|160|10.3009|1.02365|-104.156|-1.77873|-0.0241802|-2.73642|
|161|10.2991|1.02363|-104.159|-1.80078|-0.02448|-2.77035|
|162|10.2973|1.0236|-104.161|-1.82297|-0.0247816|-2.80448|
|163|10.2955|1.02358|-104.164|-1.84528|-0.025085|-2.83881|
|164|10.2936|1.02355|-104.167|-1.86773|-0.0253902|-2.87335|
|165|10.2917|1.02352|-104.17|-1.89031|-0.0256971|-2.90808|
|166|10.2898|1.0235|-104.173|-1.91302|-0.0260058|-2.94302|
|167|10.2879|1.02347|-104.176|-1.93586|-0.0263163|-2.97816|
|168|10.2859|1.02345|-104.179|-1.95883|-0.0266286|-3.0135|
|169|10.284|1.02342|-104.182|-1.98193|-0.0269426|-3.04903|
|170|10.282|1.02339|-104.185|-2.00516|-0.0272584|-3.08477|
|171|10.28|1.02336|-104.188|-2.02852|-0.027576|-3.12071|
|172|10.2779|1.02334|-104.191|-2.05202|-0.0278953|-3.15685|
|173|10.2759|1.02331|-104.194|-2.07564|-0.0282165|-3.19319|
|174|10.2738|1.02328|-104.198|-2.09939|-0.0285393|-3.22973|
|175|10.2717|1.02325|-104.201|-2.12327|-0.028864|-3.26647|
|176|10.2695|1.02322|-104.204|-2.14728|-0.0291904|-3.30341|
|177|10.2674|1.02319|-104.207|-2.17142|-0.0295185|-3.34055|
|178|10.2652|1.02316|-104.211|-2.19569|-0.0298485|-3.37788|
|179|10.263|1.02313|-104.214|-2.22009|-0.0301801|-3.41542|
|180|10.2607|1.0231|-104.218|-2.24461|-0.0305136|-3.45315|
|181|10.2585|1.02307|-104.221|-2.26927|-0.0308487|-3.49108|
|182|10.2562|1.02304|-104.225|-2.29406|-0.0311857|-3.52921|
|183|10.2539|1.02301|-104.228|-2.31897|-0.0315244|-3.56754|
|184|10.2516|1.02298|-104.232|-2.34401|-0.0318648|-3.60607|
|185|10.2492|1.02295|-104.235|-2.36918|-0.032207|-3.64479|
|186|10.2468|1.02291|-104.239|-2.39448|-0.0325509|-3.68371|
|187|10.2444|1.02288|-104.243|-2.41991|-0.0328966|-3.72283|
|188|10.242|1.02285|-104.247|-2.44547|-0.033244|-3.76214|
|189|10.2395|1.02282|-104.25|-2.47115|-0.0335931|-3.80165|
|190|10.237|1.02278|-104.254|-2.49696|-0.033944|-3.84136|
|191|10.2345|1.02275|-104.258|-2.5229|-0.0342966|-3.88127|
|192|10.232|1.02271|-104.262|-2.54896|-0.0346509|-3.92137|
|193|10.2294|1.02268|-104.266|-2.57516|-0.035007|-3.96166|
|194|10.2269|1.02264|-104.27|-2.60148|-0.0353648|-4.00216|
|195|10.2242|1.02261|-104.274|-2.62793|-0.0357243|-4.04284|
|196|10.2216|1.02257|-104.278|-2.6545|-0.0360856|-4.08373|
|197|10.2189|1.02254|-104.282|-2.6812|-0.0364486|-4.1248|
|198|10.2162|1.0225|-104.286|-2.70803|-0.0368133|-4.16608|
|199|10.2135|1.02246|-104.29|-2.73499|-0.0371797|-4.20755|
|200|10.2108|1.02242|-104.295|-2.76207|-0.0375479|-4.24921|
|201|10.208|1.02239|-104.299|-2.78927|-0.0379177|-4.29106|
|202|10.2052|1.02235|-104.303|-2.81661|-0.0382893|-4.33311|
|203|10.2024|1.02231|-104.308|-2.84407|-0.0386626|-4.37536|
|204|10.1995|1.02227|-104.312|-2.87165|-0.0390376|-4.4178|
|205|10.1966|1.02223|-104.316|-2.89936|-0.0394143|-4.46043|
|206|10.1937|1.02219|-104.321|-2.9272|-0.0397927|-4.50325|
|207|10.1908|1.02215|-104.325|-2.95516|-0.0401728|-4.54627|
|208|10.1878|1.02211|-104.33|-2.98325|-0.0405546|-4.58948|
|209|10.1848|1.02207|-104.335|-3.01146|-0.0409382|-4.63288|
|210|10.1818|1.02203|-104.339|-3.0398|-0.0413234|-4.67647|
|211|10.1787|1.02199|-104.344|-3.06826|-0.0417103|-4.72026|
|212|10.1756|1.02195|-104.349|-3.09685|-0.0420989|-4.76424|
|213|10.1725|1.0219|-104.353|-3.12556|-0.0424892|-4.80841|
|214|10.1694|1.02186|-104.358|-3.15439|-0.0428812|-4.85277|
|215|10.1662|1.02182|-104.363|-3.18335|-0.0432749|-4.89732|
|216|10.163|1.02178|-104.368|-3.21244|-0.0436703|-4.94207|
|217|10.1598|1.02173|-104.373|-3.24165|-0.0440673|-4.987|
|218|10.1565|1.02169|-104.378|-3.27098|-0.0444661|-5.03213|
|219|10.1532|1.02164|-104.383|-3.30043|-0.0448665|-5.07744|
|220|10.1499|1.0216|-104.388|-3.33001|-0.0452686|-5.12295|
|221|10.1466|1.02155|-104.393|-3.35972|-0.0456724|-5.16864|
|222|10.1432|1.02151|-104.398|-3.38954|-0.0460778|-5.21452|
|223|10.1398|1.02146|-104.404|-3.41949|-0.046485|-5.2606|
|224|10.1364|1.02141|-104.409|-3.44956|-0.0468937|-5.30686|
|225|10.1329|1.02137|-104.414|-3.47975|-0.0473042|-5.35331|
|226|10.1294|1.02132|-104.42|-3.51007|-0.0477163|-5.39995|
|227|10.1259|1.02127|-104.425|-3.54051|-0.0481301|-5.44678|
|228|10.1223|1.02122|-104.431|-3.57107|-0.0485456|-5.49379|
|229|10.1187|1.02117|-104.436|-3.60175|-0.0489627|-5.541|
