-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|108|133457|191726|67375.1|-150551|-236593|-39066.3|
|109|131959|189354|67007.9|-148905|-237740|-34359.9|
|110|130479|186972|66688.4|-147129|-238805|-29503.2|
|111|129017|184578|66418.3|-145221|-239782|-24501.5|
|112|127575|182176|66198.9|-143180|-240665|-19360.7|
|113|126154|179766|66031.5|-141004|-241448|-14087.3|
|114|124755|177348|65917.5|-138694|-242124|-8688.56|
|115|123381|174923|65858.1|-136247|-242686|-3172.11|
|116|122031|172494|65854.5|-133664|-243129|2453.66|
|117|120708|170061|65907.6|-130945|-243445|8179.81|
|118|119413|167626|66018.4|-128090|-243629|13996.8|
|119|118146|165189|66187.8|-125100|-243672|19894.4|
|120|116911|162753|66416.5|-121976|-243570|25862|
|121|115707|160318|66705.2|-118720|-243316|31888.5|
|122|114537|157887|67054.4|-115333|-242903|37962|
|123|113401|155461|67464.5|-111819|-242326|44070.4|
|124|112301|153041|67935.8|-108205|-241614|50188.4|
|125|111237|150629|68468.3|-104519|-240799|56295|
|126|110211|148225|69061.7|-100760|-239877|62383.9|
|127|109222|145832|69715.9|-96932.1|-238846|68449|
|128|108272|143449|70430.6|-93035.2|-237701|74483.7|
|129|107362|141078|71205.4|-89071.6|-236440|80481.7|
|130|106491|138720|72040.1|-85043.1|-235059|86436.5|
|131|105661|136377|72934|-80951.9|-233555|92341.7|
|132|104872|134050|73886.7|-76800.1|-231926|98190.7|
|133|104125|131739|74897.6|-72590.2|-230169|103977|
|134|103421|129447|75966|-68324.9|-228281|109695|
|135|102759|127174|77091.2|-64006.8|-226260|115338|
|136|102141|124922|78272.5|-59639|-224103|120900|
|137|101566|122692|79509|-55224.5|-221810|126375|
|138|101036|120486|80799.7|-50766.6|-219379|131757|
|139|100551|118305|82143.8|-46268.4|-216807|137042|
|140|100111|116151|83540.2|-41733.6|-214095|142224|
|141|99716.7|114024|84987.9|-37165.6|-211240|147297|
|142|99368|111926|86485.8|-32568.1|-208244|152258|
|143|99065.4|109859|88032.7|-27944.9|-205105|157102|
|144|98809.1|107825|89627.4|-23299.8|-201824|161825|
|145|98599.4|105823|91268.7|-18636.6|-198400|166424|
|146|98436.5|103857|92955.4|-13959.2|-194836|170895|
|147|98320.3|101927|94686.2|-9271.54|-191132|175234|
|148|98251|100035|96459.7|-4577.62|-187288|179441|
|149|98228.8|98181.9|98274.6|118.65|-183308|183512|
|150|98253.4|96369.3|100129|4813.32|-179193|187445|
|151|98325|94598.5|102023|9502.48|-174945|191238|
|152|98443.4|92870.8|103954|14182.2|-170568|194892|
|153|98608.6|91187.5|105920|18848.8|-166063|198404|
|154|98820.4|89550|107921|23498.3|-161435|201775|
|155|99078.5|87959.3|109955|28127.1|-156686|205003|
|156|99382.8|86416.6|112021|32731.5|-151821|208090|
|157|99733|84923.2|114117|37308|-146844|211035|
|158|100129|83480.1|116241|41853.1|-141760|213840|
|159|100570|82088.4|118393|46363.5|-136572|216504|
|160|101056|80749|120571|50835.8|-131285|219030|
|161|101587|79463|122773|55267|-125905|221419|
|162|102161|78231.2|124999|59654|-120438|223672|
|163|102779|77054.5|127246|63993.9|-114887|225791|
|164|103441|75933.7|129514|68283.8|-109259|227779|
|165|104145|74869.5|131801|72521.2|-103560|229637|
|166|104891|73862.7|134106|76703.5|-97794.9|231368|
|167|105679|72913.8|136428|80828.2|-91970.1|232973|
|168|106508|72023.5|138766|84893.1|-86091.7|234457|
|169|107377|71192.2|141117|88896.1|-80165.5|235821|
|170|108285|70420.3|143482|92835.2|-74197.7|237068|
|171|109233|69708.3|145858|96708.4|-68194.5|238202|
|172|110219|69056.5|148245|100514|-62161.9|239224|
|173|111243|68465.2|150642|104251|-56106|240139|
