-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|488|128969|184499|66410.2|144755|239151|24266.2|
|489|130426|186886|66677.9|146657|238182|29245.2|
|490|131902|189262|66994.6|148428|237126|34080.6|
|491|133394|191628|67359|150070|235989|38767.1|
|492|134903|193982|67769.5|151586|234777|43300|
|493|136426|196323|68224.5|152976|233495|47675.2|
|494|137962|198652|68722.4|154244|232150|51888.9|
|495|139510|200966|69261.7|155391|230746|55938|
|496|141069|203266|69840.6|156421|229289|59820|
|497|142638|205552|70457.5|157335|227785|63532.6|
|498|144216|207822|71110.7|158138|226238|67074.2|
|499|145801|210076|71798.4|158831|224654|70443.3|
|500|147392|212315|72519|159418|223036|73639.2|
|501|148989|214537|73270.6|159902|221390|76661.1|
|502|150590|216743|74051.6|160285|219719|79509|
|503|152194|218931|74860.2|160570|218029|82182.8|
|504|153801|221103|75694.7|160762|216322|84682.9|
|505|155409|223258|76553.3|160862|214603|87009.9|
|506|157018|225395|77434.3|160875|212875|89164.7|
|507|158626|227515|78336|160802|211141|91148.3|
|508|160233|229618|79256.8|160652|209395|92988.4|
|509|161839|231703|80195.5|160432|207622|94721.1|
|510|163442|233770|81150.9|160142|205821|96344.6|
|511|165042|235819|82122|159779|203990|97857.1|
|512|166637|237850|83107.6|159344|202129|99256.5|
|513|168228|239862|84106.7|158834|200236|100541|
|514|169814|241855|85118.1|158249|198310|101709|
|515|171393|243828|86140.5|157587|196350|102759|
|516|172965|245781|87172.8|156848|194355|103688|
|517|174530|247715|88213.9|156029|192324|104495|
|518|176085|249628|89262.3|155131|190254|105180|
|519|177632|251520|90317|154152|188144|105739|
|520|179168|253391|91376.7|153090|185994|106171|
|521|180693|255240|92440|151944|183800|106475|
|522|182207|257066|93505.8|150714|181563|106650|
|523|183707|258871|94572.6|149398|179279|106695|
|524|185194|260652|95639.2|147994|176948|106607|
|525|186667|262409|96704.3|146502|174567|106385|
|526|188124|264143|97766.5|144920|172135|106030|
|527|189565|265852|98824.4|143248|169649|105538|
|528|190989|267536|99876.8|141483|167108|104910|
|529|192394|269194|100922|139624|164509|104144|
|530|193781|270826|101959|137671|161850|103239|
|531|195148|272431|102986|135621|159130|102195|
|532|196493|274008|104003|133474|156345|101011|
|533|197817|275557|105006|131228|153493|99686.2|
|534|199117|277078|105996|128883|150572|98219.7|
|535|200394|278569|106970|126436|147580|96611.2|
|536|201646|280029|107928|123886|144514|94860.3|
|537|202871|281459|108867|121232|141370|92966.8|
|538|204070|282856|109787|118474|138148|90930.3|
|539|205241|284221|110685|115648|134883|88789.9|
|540|206383|285554|111562|112830|131650|86621.4|
|541|207497|286855|112417|110022|128447|84430.4|
|542|208583|288123|113251|107223|125273|82220.7|
|543|209642|289360|114062|104435|122125|79996.2|
|544|210672|290566|114851|101657|119001|77760.5|
|545|211675|291740|115617|98891.3|115900|75516.9|
|546|212650|292884|116361|96137.1|112820|73268.9|
|547|213598|293997|117082|93395.2|109760|71019.7|
|548|214518|295079|117781|90666.1|106717|68772.4|
|549|215411|296131|118458|87950.3|103691|66530|
|550|216277|297153|119112|85248.4|100680|64295.5|
|551|217116|298145|119744|82560.9|97683.6|62071.8|
|552|217928|299107|120353|79888.3|94700.3|59861.5|
|553|218714|300039|120941|77231.3|91729.3|57667.6|
|554|219473|300941|121507|74590.5|88769.8|55492.5|
|555|220206|301814|122051|71966.7|85821.3|53339|
|556|220912|302658|122574|69360.4|82883.2|51209.4|
|557|221593|303472|123075|66772.4|79955|49106.4|
|558|222248|304257|123556|64203.5|77036.4|47032.3|
|559|222877|305013|124016|61654.6|74127.2|44989.5|
|560|223481|305739|124456|59126.3|71227.3|42980.3|
|561|224060|306437|124876|56619.7|68336.7|41007|
|562|224614|307106|125276|54135.5|65455.5|39071.9|
|563|225143|307746|125657|51674.8|62583.8|37177.2|
|564|225647|308358|126020|49238.4|59721.9|35324.9|
|565|226127|308941|126364|46827.4|56870.2|33517.2|
|566|226584|309495|126690|44442.8|54029.1|31756.2|
|567|227016|310021|126999|42085.6|51199|30043.9|
|568|227426|310519|127291|39756.9|48380.7|28382.3|
|569|227812|310989|127567|37457.7|45574.8|26773.3|
|570|228175|311431|127827|35196.7|42799.3|25211.9|
|571|228516|311845|128071|32994.2|40099.2|23683.1|
|572|228835|312233|128301|30852.7|37477.9|22188.4|
|573|229133|312595|128515|28774.1|34937|20730.1|
|574|229411|312932|128716|26759.9|32477.7|19310.4|
|575|229668|313245|128902|24811.4|30101.5|17931.3|
|576|229907|313535|129074|22930.1|27809.5|16594.5|
|577|230127|313801|129234|21117.2|25602.8|15301.8|
|578|230330|314047|129380|19373.9|23482.5|14054.7|
|579|230515|314271|129515|17701.2|21449.6|12854.8|
|580|230684|314476|129638|16100.2|19505|11703.2|
|581|230837|314662|129749|14571.7|17649.6|10601.2|
|582|230976|314829|129850|13116.5|15884.2|9549.87|
|583|231100|314980|129940|11735.4|14209.3|8550.21|
|584|231211|315114|130021|10429.1|12625.8|7603.08|
|585|231309|315233|130093|9198.08|11134.1|6709.26|
|586|231395|315337|130155|8042.94|9734.73|5869.45|
|587|231470|315428|130210|6964.12|8428.18|5084.25|
|588|231534|315506|130257|5962.04|7214.84|4354.19|
|589|231589|315572|130297|5037.02|6095.03|3679.74|
|590|231635|315628|130331|4189.38|5069.04|3061.27|
|591|231673|315674|130359|3419.35|4137.13|2499.11|
|592|231704|315711|130381|2727.14|3299.49|1993.52|
|593|231728|315740|130399|2112.93|2556.29|1544.74|
|594|231746|315762|130412|1576.82|1907.65|1152.91|
|595|231760|315779|130422|1118.94|1353.68|818.185|
|596|231769|315790|130429|739.346|894.441|540.647|
|597|231775|315797|130433|438.091|529.987|320.364|
|598|231778|315801|130436|215.207|260.349|157.378|
|599|231779|315802|130437|70.7127|85.5452|51.7116|
|600|231780|315803|130437|4.61457|5.5825|3.3746|
|601|231780|315803|130437|0|0|-0|
